metro,Seattle-Tacoma-Bellevue WA
total_stores,197

brand,stores
Advance Auto Parts,15
AutoZone,50
NAPA Auto Parts,43
O'Reilly Auto Parts,89

county_geoid,county_name,leader,leader_stores,total_stores,status
53033,King County,O'Reilly Auto Parts,42,91,contested
53053,Pierce County,O'Reilly Auto Parts,25,55,contested
53061,Snohomish County,O'Reilly Auto Parts,22,51,contested

brand,store_id,city,county_name,nearest_brand,nearest_store_id,nearest_city,nearest_county_name,distance_miles
O'Reilly Auto Parts,fed8e59a-1b29-4259-88db-6112de054340,Everett,Snohomish County,NAPA Auto Parts,92f46d0f-2a5c-4096-99fd-e330cf3880fb,Everett,Snohomish County,0.43
AutoZone,27bfb9f3-fe97-4bfc-95f6-b54baa80f62f,Covington,King County,NAPA Auto Parts,71d5a9f5-0294-424a-95f0-0a509841853c,Covington,King County,0.44
NAPA Auto Parts,71d5a9f5-0294-424a-95f0-0a509841853c,Covington,King County,AutoZone,27bfb9f3-fe97-4bfc-95f6-b54baa80f62f,Covington,King County,0.44
O'Reilly Auto Parts,01a1e173-9b9e-4a3d-9649-d408f4374993,Covington,King County,AutoZone,27bfb9f3-fe97-4bfc-95f6-b54baa80f62f,Covington,King County,0.46
NAPA Auto Parts,67583992-2ba9-4f75-84b7-9f222758413a,Tacoma,Pierce County,Advance Auto Parts,85e15090-8c82-444e-878f-9cf445fa9cf0,Parkland,Pierce County,0.47
NAPA Auto Parts,49ccbcb4-f608-4f36-9932-0dc6155d95ca,Marysville,Snohomish County,O'Reilly Auto Parts,9fb9178b-a28c-4263-a50c-725d42eefdc9,Marysville,Snohomish County,0.48
NAPA Auto Parts,c20ee2d3-d694-4273-9449-821b4f56735d,Kirkland,King County,O'Reilly Auto Parts,5320c482-0654-4db7-bb61-f0c5a34bf7b2,Kirkland,King County,0.50
AutoZone,b520d212-1357-4787-b1f0-1e9793468211,Tacoma,Pierce County,Advance Auto Parts,3be04b0d-0d5a-4465-96bc-fc0267eff3fe,Tacoma,Pierce County,0.51
NAPA Auto Parts,9edf7aa5-7f1d-43de-9652-94ace74ad6fe,Lynnwood,Snohomish County,AutoZone,729c7daf-a16a-4340-ad71-45206976371d,Lynnwood,Snohomish County,0.56
AutoZone,9d98354b-f943-4a22-b108-e2c18e3af846,Auburn,King County,NAPA Auto Parts,59b4a358-c95c-432c-af48-0240ec0158e9,Auburn,King County,0.59
AutoZone,e4aa12d2-cee4-4838-8577-d0da8fe95509,Tacoma,Pierce County,O'Reilly Auto Parts,f67ce9e5-3635-4242-8e2c-65939649eb2d,Tacoma,Pierce County,0.62
O'Reilly Auto Parts,f67ce9e5-3635-4242-8e2c-65939649eb2d,Tacoma,Pierce County,AutoZone,e4aa12d2-cee4-4838-8577-d0da8fe95509,Tacoma,Pierce County,0.62
NAPA Auto Parts,cf416bc9-ad7d-46af-8a31-658d754737f7,Everett,Snohomish County,Advance Auto Parts,ab2f33b5-8367-4d68-95e4-6713ef0ee67c,Everett,Snohomish County,0.62
O'Reilly Auto Parts,63a3ffc8-093f-4081-96f2-62c576732ff3,Redmond,King County,NAPA Auto Parts,a3b2d115-b681-4dbb-b616-61f822755d65,Bellevue,King County,0.65
NAPA Auto Parts,a3b2d115-b681-4dbb-b616-61f822755d65,Bellevue,King County,O'Reilly Auto Parts,63a3ffc8-093f-4081-96f2-62c576732ff3,Redmond,King County,0.65
NAPA Auto Parts,3ae69033-2977-4656-bbac-4136d791560f,Puyallup,Pierce County,AutoZone,f4828fe2-483d-4d34-ade6-b5f40174cf61,Puyallup,Pierce County,0.68
AutoZone,f4828fe2-483d-4d34-ade6-b5f40174cf61,Puyallup,Pierce County,NAPA Auto Parts,3ae69033-2977-4656-bbac-4136d791560f,Puyallup,Pierce County,0.68
O'Reilly Auto Parts,8fd73334-f20c-4595-860c-3921cb548bb9,Puyallup,Pierce County,AutoZone,f4828fe2-483d-4d34-ade6-b5f40174cf61,Puyallup,Pierce County,0.70
O'Reilly Auto Parts,0d9dce9e-c52a-48b5-9174-5ffe7d8ba5e7,Seattle,King County,Advance Auto Parts,59522d30-d103-4df2-9b51-a84022656eb0,Seattle,King County,0.71
Advance Auto Parts,59522d30-d103-4df2-9b51-a84022656eb0,Seattle,King County,O'Reilly Auto Parts,0d9dce9e-c52a-48b5-9174-5ffe7d8ba5e7,Seattle,King County,0.71
O'Reilly Auto Parts,2f41c0f5-c04e-4c77-9575-84c2732f31b1,Kent,King County,AutoZone,620bbcc1-7b47-4145-87a7-7c267ec1ecde,Kent,King County,0.73
O'Reilly Auto Parts,dc5a37df-d41b-4958-ab47-17a7173029ee,Seattle,King County,NAPA Auto Parts,fe32b1b4-4c82-4e77-9125-185c085eab6d,Seattle,King County,0.74
NAPA Auto Parts,fe32b1b4-4c82-4e77-9125-185c085eab6d,Seattle,King County,O'Reilly Auto Parts,dc5a37df-d41b-4958-ab47-17a7173029ee,Seattle,King County,0.74
Advance Auto Parts,42d58f10-48a2-4a8f-b499-bc49e87e2df0,Auburn,King County,AutoZone,9d98354b-f943-4a22-b108-e2c18e3af846,Auburn,King County,0.74
O'Reilly Auto Parts,295e83c2-df97-449f-a5ae-b381ebdb74e2,Mill Creek,Snohomish County,AutoZone,35290978-40ce-4501-a027-62507d7c924c,Mill Creek,Snohomish County,0.75
AutoZone,35290978-40ce-4501-a027-62507d7c924c,Mill Creek,Snohomish County,O'Reilly Auto Parts,295e83c2-df97-449f-a5ae-b381ebdb74e2,Mill Creek,Snohomish County,0.75
AutoZone,6bfe3deb-a474-44cb-907b-65676b8e7427,Stanwood,Snohomish County,NAPA Auto Parts,e29f0c4e-e20c-476f-9cf3-d72d85d17212,Stanwood,Snohomish County,0.76
NAPA Auto Parts,e29f0c4e-e20c-476f-9cf3-d72d85d17212,Stanwood,Snohomish County,AutoZone,6bfe3deb-a474-44cb-907b-65676b8e7427,Stanwood,Snohomish County,0.76
NAPA Auto Parts,d6649129-37d1-4fc1-9b4d-6c6e9b8a2664,Tukwila,King County,O'Reilly Auto Parts,e5f44433-fda1-4488-8f57-293426c7d0c8,Burien,King County,0.77
O'Reilly Auto Parts,e5f44433-fda1-4488-8f57-293426c7d0c8,Burien,King County,NAPA Auto Parts,d6649129-37d1-4fc1-9b4d-6c6e9b8a2664,Tukwila,King County,0.77
NAPA Auto Parts,7225e91b-d64a-47b8-a804-395facbd28ca,Snohomish,Snohomish County,Advance Auto Parts,34eb5bfe-c4de-4ae3-a581-a6906fb01ef2,Snohomish,Snohomish County,0.82
AutoZone,986fa2d3-a83a-4949-a39d-a8cecdbcd231,Tacoma,Pierce County,O'Reilly Auto Parts,67c7eab6-2060-4adc-a8ec-b2638e4074f2,Tacoma,Pierce County,0.82
O'Reilly Auto Parts,0d12f8be-0464-4aff-a4ca-8260a40c1ff9,Tacoma,Pierce County,AutoZone,60521778-e56f-49ef-b85c-d340a312096c,Tacoma,Pierce County,0.85
AutoZone,60521778-e56f-49ef-b85c-d340a312096c,Tacoma,Pierce County,O'Reilly Auto Parts,0d12f8be-0464-4aff-a4ca-8260a40c1ff9,Tacoma,Pierce County,0.85
O'Reilly Auto Parts,03930f73-f495-4712-a1a7-f534871bd581,Puyallup,Pierce County,NAPA Auto Parts,3ae69033-2977-4656-bbac-4136d791560f,Puyallup,Pierce County,0.85
O'Reilly Auto Parts,1b0c7bc0-8232-4bde-b339-84a7656651a4,Issaquah,King County,NAPA Auto Parts,fa109fe7-16ed-4a88-bfb0-8271c74f5a36,Issaquah,King County,0.87
