brand,store_id,store_name,address,city,state,postal_code,latitude,longitude,source,source_date,license_status,review_status,review_reason
Retail Center,fb1caeea-ae93-41bf-a53b-c2a15d95862f,Preferred Surgicenter,10 Orland Square Dr,Orland Park,IL,60462-3207,41.6225471496582,-87.85192108154297,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,efd9d87b-de90-4748-93cb-b305e00ef60e,Sleep Lab Sinai Medical Center,10 Orland Square Dr,Orland Park,IL,60462,41.61764144897461,-87.8438949584961,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,140565e0-c3ee-44fb-a5db-08b2ba894913,Sleep Lab at Sinai Medical Center,10 Orland Square Dr,Orland Park,IL,60462-3207,41.622623443603516,-87.85163879394531,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Shopping Center,9b6b7204-cb05-42e7-87bb-3b9e32f476ad,Doctors of Optometry - Orland Square Shopping Center,864 Orland Square Dr,Orland Park,IL,60462,41.618629455566406,-87.84797668457031,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Shopping Center,b985a6dd-5d6d-4e8c-98a9-f9c8fba047d7,Orland Square Shopping Center,524 Orland Square Dr Spc E-10,Orland Park,IL,60462,41.620521545410156,-87.84915161132812,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
Mall,63d71f03-3a60-433c-ac7f-e4959a5b0b81,NORDSTROM WOODFEILD MALL,6 WOODFIELD MALL,SCHAUMBURG,IL,60173,42.04999923706055,-88.04000091552734,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Shopping Center,afcf2ee1-6366-451e-af57-a2583479ff85,OLD ORCHARD SHOPPING CENTER,153 OLD ORCHARD SHOPPING CENTER,SKOKIE,IL,60077,42.06239318847656,-87.74661254882812,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,69b23e39-dcbd-43c7-85b7-f159dd4c08c0,Hope Centered Wellness Group,1800 Woodfield Dr,Savoy,IL,61874-9506,40.07716369628906,-88.24866485595703,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Plaza,7fbb68b8-fc88-41ad-b757-63720c779b22,Woodfield Plaza,1801 Woodfield Dr,Savoy,IL,61874-9505,40.0776481628418,-88.2490234375,Overture Places 2026-07-22.0,2026-07-22,open,exclude,brand_false_positive
Retail Village,2353f5ab-7444-45b2-878a-67c6284a78fd,The Village,1809 Woodfield Dr Ste B,Savoy,IL,61874,40.07912063598633,-88.24897003173828,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,812fc40b-4f70-440f-97c5-9ab7fe9f8ffe,Altar'd State Woodfield Mall,5 Woodfield Mall  # J314,Schaumburg,IL,60173-5012,42.046852111816406,-88.03759002685547,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,865e865c-abb5-4af3-b2f2-d1b77de7d4c0,Amorino Chicago - Woodfield Mall,Woodfield Mall suite,Schaumburg,IL,60173,42.046329498291016,-88.03759002685547,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,5a5c9159-0048-4fc8-bbec-05f3b2f83949,Cellaxs Woodfield Mall,5 Woodfield Mall,Schaumburg,IL,60173-5097,42.047637939453125,-88.0375747680664,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,482c5f79-6ec5-4f25-aa6c-cc8345b81491,Clark Street Sports - Woodfield Mall,5 Woodfield Mall Ste d349,Schaumburg,IL,60173,42.04642105102539,-88.03693389892578,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,b17e58b0-b29b-45a5-813f-83b6d975dc25,Courtyard by Marriott Chicago Schaumburg/Woodfield Mall,1311 American Ln,Schaumburg,IL,60173,42.04591369628906,-88.04765319824219,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,706c6d4c-0f28-4e14-b644-311ffa18c413,Dell@ Woodfield Mall,5 Woodfield Mall,Schaumburg,IL,60173,42.04553985595703,-88.0372543334961,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,bbdfdaf7-014a-4689-ac19-1c9e1b398a3d,Denim HOUSE WOODFIELD MALL,5 Woodfield Mall,Schaumburg,IL,60173-5097,42.045753479003906,-88.03739166259766,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,285146c7-2c17-4469-8ebc-6a6f9ee4ffc1,Dr. Martens Woodfield Mall,5 Woodfield Mall  Spc E138a,Schaumburg,IL,60173-5012,42.046852111816406,-88.03759002685547,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,46cf5703-9542-428f-8916-0d450856788c,Dr. Martens Woodfield Mall,5 Woodfield Mall Space E138A,Schaumburg,IL,60173,42.043182373046875,-88.05513000488281,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,d92327b7-b4f3-4372-942b-40c9dea7f871,Extended Stay America Suites- Chicago - Woodfield Mall,1200 American Ln,Schaumburg,IL,60173-4944,42.04803466796875,-88.04906463623047,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,992cfb6e-44dc-4a66-bd9e-3e0fab1557ce,Falafill at the Woodfield Mall,5 Woodfield Mall,Schaumburg,IL,60173-5097,42.04609298706055,-88.03600311279297,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,41eacf22-23b4-485f-8130-23ad11e52a18,GameStop - Mall,D327 Woodfield Mall,Schaumburg,IL,60173,42.04936981201172,-88.03970336914062,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,aaf1b854-c5cd-4875-b6a0-73930269fadf,MIDA K-Beauty Woodfield Mall,5 Woodfield Mall,Schaumburg,IL,60173-5097,42.045753479003906,-88.03739166259766,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,c3fe3397-3048-4f50-a432-b3e5b58c1544,Marbles: The Brain Store (Woodfield Mall),5 Woodfield Mall,Schaumburg,IL,60173,42.04582214355469,-88.03666687011719,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,b62f1361-1d81-46e2-aeb8-427161e9defc,Michael Hill Jewelers Woodfield Mall,5 Woodfield Mall,Schaumburg,IL,60173,42.04553985595703,-88.0372543334961,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,f911216b-bdb7-401f-9373-c6edbd8f0ab1,Pace Suburban Bus Stop - Woodfield Mall,JCPenney Wing,Schaumburg,IL,60173,42.04697036743164,-88.03912353515625,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,27b57c80-5b64-41d9-87b2-978e622b96c5,Purple - Woodfield Mall,5 Woodfield Mall Ste J-109 Ste J-109,Schaumburg,IL,60173,42.04640579223633,-88.03758239746094,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,251478cc-5cf5-4ec7-bba7-fd2ae701d8b8,Rally House Woodfield Mall,5 Woodfield Mall # E132,Schaumburg,IL,60173,42.043182373046875,-88.05513000488281,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,d322bd86-ab7b-4102-90df-c8905f36a6f0,Residence Inn by Marriott Chicago Schaumburg/Woodfield Mall,1610 W McConnor Pkwy,Schaumburg,IL,60173,42.056922912597656,-88.04025268554688,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,959f733f-c6f1-40e5-a1ab-84fb59bd5a9e,SpringHill Suites by Marriott Chicago Schaumburg/Woodfield Mall,1550 W McConnor Pkwy,Schaumburg,IL,60173,42.056663513183594,-88.04151916503906,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,c6b83516-de4d-47cc-90dc-40c017f2d491,TUMI Store - Woodfield Mall,F336 Woodfield Mall,Schaumburg,IL,60173,42.04552459716797,-88.03719329833984,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,32f6e923-2dce-4984-9de3-ead8adaacc36,The LEGO® Store Woodfield Mall,5 Woodfield Mall Spc G306,Schaumburg,IL,60173,42.053314208984375,-88.05037689208984,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,e2852160-e504-44fa-9acd-a6516ab45da9,Venus Med Spa Woodfield Mall Chicago Area,5 Woodfield Mall,Schaumburg,IL,60173-5097,42.045867919921875,-88.03753662109375,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,8507a1c8-8d61-4eb1-b37d-02586342f2e6,Warby Parker Woodfield Mall,5 Woodfield Mall,Schaumburg,IL,60173,42.05067443847656,-88.05934143066406,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,727d5905-b734-403c-b742-2f31ae2ece77,Woodfield Mall,5 Woodfield Mall,Schaumburg,IL,60173-5097,42.046417236328125,-88.03713989257812,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
